name,specialty,qualifications,department,languages,contactEmail,photoUrl,isDemo,isVerified,demoLoginEmail,hospitalSlug,schedulePending,dayOfWeek,startTime,endTime,slotMinutes
"Dr. Priya Kapoor",Cardiology,"MD, DM (Cardiology)",Cardiology,"English|Hindi",priya.kapoor@apollohospitals.com,https://www.apollohospitals.com/doctors/priyakapoor.jpg,true,false,priya.kapoor@example.test,apollo-hospital-bannerghatta-road,false,1,10:00,16:00,20
"Dr. Priya Kapoor",Cardiology,"MD, DM (Cardiology)",Cardiology,"English|Hindi",priya.kapoor@apollohospitals.com,https://www.apollohospitals.com/doctors/priyakapoor.jpg,true,false,priya.kapoor@example.test,apollo-hospital-bannerghatta-road,false,2,10:00,16:00,20
"Dr. Priya Kapoor",Cardiology,"MD, DM (Cardiology)",Cardiology,"English|Hindi",priya.kapoor@apollohospitals.com,https://www.apollohospitals.com/doctors/priyakapoor.jpg,true,false,priya.kapoor@example.test,apollo-hospital-bannerghatta-road,false,3,10:00,16:00,20
"Dr. Priya Kapoor",Cardiology,"MD, DM (Cardiology)",Cardiology,"English|Hindi",priya.kapoor@apollohospitals.com,https://www.apollohospitals.com/doctors/priyakapoor.jpg,true,false,priya.kapoor@example.test,apollo-hospital-bannerghatta-road,false,4,10:00,16:00,20
"Dr. Priya Kapoor",Cardiology,"MD, DM (Cardiology)",Cardiology,"English|Hindi",priya.kapoor@apollohospitals.com,https://www.apollohospitals.com/doctors/priyakapoor.jpg,true,false,priya.kapoor@example.test,apollo-hospital-bannerghatta-road,false,5,10:00,16:00,20
"Dr. Rajesh Malhotra",Oncology,"MBBS, MD (Oncology)","Medical Oncology","English|Kannada",rajesh.malhotra@hcgoncology.com,https://www.hcgoncology.com/doctors/rajeshmalhotra.jpg,true,false,rajesh.malhotra@example.test,apollo-hospital-bannerghatta-road,false,2,11:00,17:00,20
"Dr. Rajesh Malhotra",Oncology,"MBBS, MD (Oncology)","Medical Oncology","English|Kannada",rajesh.malhotra@hcgoncology.com,https://www.hcgoncology.com/doctors/rajeshmalhotra.jpg,true,false,rajesh.malhotra@example.test,apollo-hospital-bannerghatta-road,false,3,11:00,17:00,20
"Dr. Rajesh Malhotra",Oncology,"MBBS, MD (Oncology)","Medical Oncology","English|Kannada",rajesh.malhotra@hcgoncology.com,https://www.hcgoncology.com/doctors/rajeshmalhotra.jpg,true,false,rajesh.malhotra@example.test,apollo-hospital-bannerghatta-road,false,4,11:00,17:00,20
"Dr. Rajesh Malhotra",Oncology,"MBBS, MD (Oncology)","Medical Oncology","English|Kannada",rajesh.malhotra@hcgoncology.com,https://www.hcgoncology.com/doctors/rajeshmalhotra.jpg,true,false,rajesh.malhotra@example.test,apollo-hospital-bannerghatta-road,false,5,11:00,17:00,20
"Dr. Rajesh Malhotra",Oncology,"MBBS, MD (Oncology)","Medical Oncology","English|Kannada",rajesh.malhotra@hcgoncology.com,https://www.hcgoncology.com/doctors/rajeshmalhotra.jpg,true,false,rajesh.malhotra@example.test,apollo-hospital-bannerghatta-road,false,6,11:00,17:00,20
"Dr. Rajesh Malhotra",Oncology,"MBBS, MD (Oncology)","Medical Oncology","English|Kannada",rajesh.malhotra@hcgoncology.com,https://www.hcgoncology.com/doctors/rajeshmalhotra.jpg,true,false,rajesh.malhotra@example.test,hcg-cancer-center-bangalore,true,,,,
"Dr. Anita Desai",Orthopedics,"MS, DNB (Ortho)",Orthopedics,"English|Hindi",anita.desai@hosmathospitals.com,https://www.hosmathospitals.com/doctors/anitadesai.jpg,true,false,anita.desai@example.test,hosmat-hospital-bangalore,false,1,09:00,15:00,20
"Dr. Anita Desai",Orthopedics,"MS, DNB (Ortho)",Orthopedics,"English|Hindi",anita.desai@hosmathospitals.com,https://www.hosmathospitals.com/doctors/anitadesai.jpg,true,false,anita.desai@example.test,hosmat-hospital-bangalore,false,2,09:00,15:00,20
"Dr. Anita Desai",Orthopedics,"MS, DNB (Ortho)",Orthopedics,"English|Hindi",anita.desai@hosmathospitals.com,https://www.hosmathospitals.com/doctors/anitadesai.jpg,true,false,anita.desai@example.test,hosmat-hospital-bangalore,false,3,09:00,15:00,20
"Dr. Anita Desai",Orthopedics,"MS, DNB (Ortho)",Orthopedics,"English|Hindi",anita.desai@hosmathospitals.com,https://www.hosmathospitals.com/doctors/anitadesai.jpg,true,false,anita.desai@example.test,hosmat-hospital-bangalore,false,4,09:00,15:00,20
"Dr. Anita Desai",Orthopedics,"MS, DNB (Ortho)",Orthopedics,"English|Hindi",anita.desai@hosmathospitals.com,https://www.hosmathospitals.com/doctors/anitadesai.jpg,true,false,anita.desai@example.test,hosmat-hospital-bangalore,false,5,09:00,15:00,20
